WEEK NUMBER,NO. OF DEATHS ,COUNT,TYPE,SEASON
2018-43,0,0,PREVIOUS WEEK DEATHS,2018-19
2018-43,0,0,CURRENT WEEK DEATHS,2018-19
2018-44,0,0,PREVIOUS WEEK DEATHS,2018-19
2018-44,0,0,CURRENT WEEK DEATHS,2018-19
2018-45,0,0,PREVIOUS WEEK DEATHS,2018-19
2018-45,0,0,CURRENT WEEK DEATHS,2018-19
2018-46,2,2,PREVIOUS WEEK DEATHS,2018-19
2018-46,2,0,CURRENT WEEK DEATHS,2018-19
2018-47,1,1,PREVIOUS WEEK DEATHS,2018-19
2018-47,1,0,CURRENT WEEK DEATHS,2018-19
2018-48,1,1,PREVIOUS WEEK DEATHS,2018-19
2018-48,1,0,CURRENT WEEK DEATHS,2018-19
2018-49,2,2,PREVIOUS WEEK DEATHS,2018-19
2018-49,2,0,CURRENT WEEK DEATHS,2018-19
2018-50,1,1,PREVIOUS WEEK DEATHS,2018-19
2018-50,1,0,CURRENT WEEK DEATHS,2018-19
2018-51,4,4,PREVIOUS WEEK DEATHS,2018-19
2018-51,4,0,CURRENT WEEK DEATHS,2018-19
2018-52,7,7,PREVIOUS WEEK DEATHS,2018-19
2018-52,7,0,CURRENT WEEK DEATHS,2018-19
2019-01,1,1,PREVIOUS WEEK DEATHS,2018-19
2019-01,1,0,CURRENT WEEK DEATHS,2018-19
2019-02,3,3,PREVIOUS WEEK DEATHS,2018-19
2019-02,3,0,CURRENT WEEK DEATHS,2018-19
2019-03,2,2,PREVIOUS WEEK DEATHS,2018-19
2019-03,2,0,CURRENT WEEK DEATHS,2018-19
2019-04,3,3,PREVIOUS WEEK DEATHS,2018-19
2019-04,3,0,CURRENT WEEK DEATHS,2018-19
2019-05,8,6,PREVIOUS WEEK DEATHS,2018-19
2019-05,8,2,CURRENT WEEK DEATHS,2018-19
2019-06,10,4,PREVIOUS WEEK DEATHS,2018-19
2019-06,10,6,CURRENT WEEK DEATHS,2018-19
2019-07,5,2,PREVIOUS WEEK DEATHS,2018-19
2019-07,5,3,CURRENT WEEK DEATHS,2018-19
2019-08,4,0,PREVIOUS WEEK DEATHS,2018-19
2019-08,4,4,CURRENT WEEK DEATHS,2018-19
2019-09,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-09,0,0,CURRENT WEEK DEATHS,2018-19
2019-10,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-10,0,0,CURRENT WEEK DEATHS,2018-19
2019-11,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-11,0,0,CURRENT WEEK DEATHS,2018-19
2019-12,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-12,0,0,CURRENT WEEK DEATHS,2018-19
2019-13,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-13,0,0,CURRENT WEEK DEATHS,2018-19
2019-14,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-14,0,0,CURRENT WEEK DEATHS,2018-19
2019-15,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-15,0,0,CURRENT WEEK DEATHS,2018-19
2019-16,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-16,0,0,CURRENT WEEK DEATHS,2018-19
2019-17,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-17,0,0,CURRENT WEEK DEATHS,2018-19
2019-18,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-18,0,0,CURRENT WEEK DEATHS,2018-19
2019-19,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-19,0,0,CURRENT WEEK DEATHS,2018-19
2019-20,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-20,0,0,CURRENT WEEK DEATHS,2018-19
2019-21,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-21,0,0,CURRENT WEEK DEATHS,2018-19
2019-22,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-22,0,0,CURRENT WEEK DEATHS,2018-19
2019-23,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-23,0,0,CURRENT WEEK DEATHS,2018-19
2019-24,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-24,0,0,CURRENT WEEK DEATHS,2018-19
2019-25,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-25,0,0,CURRENT WEEK DEATHS,2018-19
2019-26,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-26,0,0,CURRENT WEEK DEATHS,2018-19
2019-27,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-27,0,0,CURRENT WEEK DEATHS,2018-19
2019-28,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-28,0,0,CURRENT WEEK DEATHS,2018-19
2019-29,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-29,0,0,CURRENT WEEK DEATHS,2018-19
2019-30,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-30,0,0,CURRENT WEEK DEATHS,2018-19
2019-31,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-31,0,0,CURRENT WEEK DEATHS,2018-19
2019-32,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-32,0,0,CURRENT WEEK DEATHS,2018-19
2019-33,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-33,0,0,CURRENT WEEK DEATHS,2018-19
2019-34,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-34,0,0,CURRENT WEEK DEATHS,2018-19
2019-35,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-35,0,0,CURRENT WEEK DEATHS,2018-19
2019-36,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-36,0,0,CURRENT WEEK DEATHS,2018-19
2019-37,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-37,0,0,CURRENT WEEK DEATHS,2018-19
2019-38,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-38,0,0,CURRENT WEEK DEATHS,2018-19
2019-39,0,0,PREVIOUS WEEK DEATHS,2018-19
2019-39,0,0,CURRENT WEEK DEATHS,2018-19
